Avibase.ID,spname,Species,gbif_dwnld_date,gbif_TaxonKey,maxrecords_in_gbif,maxrecords_PRESENT_only,comments,gbif_dwnld_type
AVIBASE-A2BB98A9,Acanthis flammea,Acanthis flammea,9/25/2022,5231630,2415126,2408835, https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5231630&occurrence_status=present,manual
AVIBASE-EB98812F,Accipiter cooperii,Accipiter cooperii,9/25/2022,2480621,2833604,2831802,https://www.gbif.org/occurrence/download/0023184-220831081235567,manual
AVIBASE-420850D6,Accipiter gentilis,Accipiter gentilis,9/25/2022,2480589,748049,744860,https://www.gbif.org/occurrence/download/0023187-220831081235567,manual
AVIBASE-3B024163,Accipiter striatus,Accipiter striatus,9/25/2022,9740253,1402617,1400201,https://www.gbif.org/occurrence/download/0023189-220831081235567,manual
AVIBASE-B675E006,Acrocephalus palustris,Acrocephalus palustris,9/25/2022,2493136,441652,438794,https://www.gbif.org/occurrence/download/0023192-220831081235567,manual
AVIBASE-0D88C072,Actitis macularius,Actitis macularius,9/25/2022,2481798,2409918,2409175,https://www.gbif.org/occurrence/download/0023194-220831081235567,manual
AVIBASE-D05FFEF7,Aechmophorus clarkii,Aechmophorus clarkii,9/25/2022,2482032,220778,220768,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482032&occurrence_status=present,manual
AVIBASE-C6E1197B,Aechmophorus occidentalis,Aechmophorus occidentalis,9/25/2022,2482033,755408,755382,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482033&occurrence_status=present,manual
AVIBASE-B401C2DD,Aeronautes saxatalis,Aeronautes saxatalis,9/25/2022,2477108,300833,300814,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2477108&occurrence_status=present,manual
AVIBASE-C86D078E,Agelaius phoeniceus,Agelaius phoeniceus,9/25/2022,9409198,13256991,13256690,https://www.gbif.org/occurrence/download/0023209-220831081235567,manual
AVIBASE-80285D5C,Agelaius tricolor,Agelaius tricolor,9/24/2022,2484445,66231,66227,NA,code
AVIBASE-7784B060,Aimophila ruficeps,Aimophila ruficeps,9/25/2022,2491961,189954,189931,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2491961&occurrence_status=present,manual
AVIBASE-27B2749A,Aix sponsa,Aix sponsa,9/25/2022,2498387,3271036,3268356,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2498387&occurrence_status=present,manual
AVIBASE-64F4DD81,Alca torda,Alca torda,9/25/2022,8277073,441713,437693,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=8277073&occurrence_status=present,manual
AVIBASE-87CBEBF7,Alectoris chukar,Alectoris chukar,9/24/2022,2474029,91256,87213,NA,code
AVIBASE-CDA2F827,Ammodramus henslowii,Ammodramus henslowii,9/24/2022,2491119,1695,1693,NA,code
AVIBASE-5BFFE091,Ammodramus savannarum,Ammodramus savannarum,9/25/2022,2491123,345077,345015,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2491123&occurrence_status=present,manual
AVIBASE-B656B15D,Ammospiza leconteii,Ammospiza leconteii,9/24/2022,2491081,61708,61708,NA,code
AVIBASE-0F81304F,Ammospiza maritima,Ammospiza maritima,9/24/2022,2491116,90177,90172,NA,code
AVIBASE-727D994F,Ammospiza nelsoni,Ammospiza nelsoni,9/24/2022,10999791,72738,72729,NA,code
AVIBASE-A0F29F1E,Amphispiza bilineata,Amphispiza bilineata,9/25/2022,2491757,304087,303937,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2491757&occurrence_status=present,manual
AVIBASE-56CCA717,Anas acuta,Anas acuta,9/25/2022,2498112,2418018,2415106,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2498112&occurrence_status=present,manual
AVIBASE-BC6C3CCE,Anas crecca,Anas crecca,9/25/2022,8214667,4900429,4895619,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=8214667&occurrence_status=present,manual
AVIBASE-697B933E,Anas fulvigula,Anas fulvigula,9/25/2022,2498080,410842,410842,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2498080&occurrence_status=present,manual
AVIBASE-85625D75,Anas platyrhynchos,Anas platyrhynchos,9/25/2022,9761484,18438327,18423910,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9761484&occurrence_status=present,manual
