"Avibase.ID","spname","Species","gbif_dwnld_date","gbif_TaxonKey","maxrecords_in_gbif","maxrecords_PRESENT_only","comments","gbif_dwnld_type","cleaned_records","maxTtol_K0.1","minTtol_K0.1","maxTtol_celcius","minTtol_celcius"
"AVIBASE-A2BB98A9","Acanthis flammea","Acanthis flammea","9/25/2022",5231630,2415126,2408835," https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5231630&occurrence_status=present","manual",976678,3089.6,2347.4,35.81,-38.41
"AVIBASE-EB98812F","Accipiter cooperii","Accipiter cooperii","9/25/2022",2480621,2833604,2831802,"https://www.gbif.org/occurrence/download/0023184-220831081235567","manual",1384624,3182.8,2488,45.1300000000001,-24.35
"AVIBASE-420850D6","Accipiter gentilis","Accipiter gentilis","9/25/2022",2480589,748049,744860,"https://www.gbif.org/occurrence/download/0023187-220831081235567","manual",144349,3177.2,2389.2,44.57,-34.23
"AVIBASE-3B024163","Accipiter striatus","Accipiter striatus","9/25/2022",9740253,1402617,1400201,"https://www.gbif.org/occurrence/download/0023189-220831081235567","manual",740425,3180.6,2403.6,44.91,-32.79
"AVIBASE-B675E006","Acrocephalus palustris","Acrocephalus palustris","9/25/2022",2493136,441652,438794,"https://www.gbif.org/occurrence/download/0023192-220831081235567","manual",158311,3196.6,2536.6,46.51,-19.49
"AVIBASE-0D88C072","Actitis macularius","Actitis macularius","9/25/2022",2481798,2409918,2409175,"https://www.gbif.org/occurrence/download/0023194-220831081235567","manual",731685,3182.6,2391.4,45.11,-34.01
"AVIBASE-D05FFEF7","Aechmophorus clarkii","Aechmophorus clarkii","9/25/2022",2482032,220778,220768,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482032&occurrence_status=present","manual",197377,3166.6,2530.2,43.51,-20.13
"AVIBASE-C6E1197B","Aechmophorus occidentalis","Aechmophorus occidentalis","9/25/2022",2482033,755408,755382,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482033&occurrence_status=present","manual",606442,3179.6,2490.4,44.81,-24.11
"AVIBASE-B401C2DD","Aeronautes saxatalis","Aeronautes saxatalis","9/25/2022",2477108,300833,300814,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2477108&occurrence_status=present","manual",47284,3179.2,2510.4,44.77,-22.11
"AVIBASE-C86D078E","Agelaius phoeniceus","Agelaius phoeniceus","9/25/2022",9409198,13256991,13256690,"https://www.gbif.org/occurrence/download/0023209-220831081235567","manual",1350521,3178.4,2428.8,44.6900000000001,-30.27
"AVIBASE-80285D5C","Agelaius tricolor","Agelaius tricolor","9/24/2022",2484445,66231,66227,NA,"code",60098,3163.6,2635,43.21,-9.64999999999998
"AVIBASE-7784B060","Aimophila ruficeps","Aimophila ruficeps","9/25/2022",2491961,189954,189931,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2491961&occurrence_status=present","manual",184723,3154.2,2575.8,42.27,-15.5699999999999
"AVIBASE-27B2749A","Aix sponsa","Aix sponsa","9/25/2022",2498387,3271036,3268356,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2498387&occurrence_status=present","manual",1814522,3181.8,2481.6,45.03,-24.99
"AVIBASE-64F4DD81","Alca torda","Alca torda","9/25/2022",8277073,441713,437693,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=8277073&occurrence_status=present","manual",64933,3064.8,2456,33.33,-27.55
"AVIBASE-87CBEBF7","Alectoris chukar","Alectoris chukar","9/24/2022",2474029,91256,87213,NA,"code",76665,3181,2363.8,44.95,-36.77
"AVIBASE-CDA2F827","Ammodramus henslowii","Ammodramus henslowii","9/24/2022",2491119,1695,1693,NA,"code",1080,3074.6,2563.2,34.31,-16.83
"AVIBASE-5BFFE091","Ammodramus savannarum","Ammodramus savannarum","9/25/2022",2491123,345077,345015,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2491123&occurrence_status=present","manual",230559,3169.6,2529,43.81,-20.25
"AVIBASE-B656B15D","Ammospiza leconteii","Ammospiza leconteii","9/24/2022",2491081,61708,61708,NA,"code",55263,3160.6,2440.2,42.91,-29.13
"AVIBASE-0F81304F","Ammospiza maritima","Ammospiza maritima","9/24/2022",2491116,90177,90172,NA,"code",59944,3073,2624.6,34.15,-10.69
"AVIBASE-727D994F","Ammospiza nelsoni","Ammospiza nelsoni","9/24/2022",10999791,72738,72729,NA,"code",48316,3135.8,2429.2,40.4300000000001,-30.23
"AVIBASE-A0F29F1E","Amphispiza bilineata","Amphispiza bilineata","9/25/2022",2491757,304087,303937,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2491757&occurrence_status=present","manual",169369,3183,2537.6,45.15,-19.39
"AVIBASE-56CCA717","Anas acuta","Anas acuta","9/25/2022",2498112,2418018,2415106,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2498112&occurrence_status=present","manual",969329,3193,2355.2,46.15,-37.63
"AVIBASE-BC6C3CCE","Anas crecca","Anas crecca","9/25/2022",8214667,4900429,4895619,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=8214667&occurrence_status=present","manual",1985527,3199,2342,46.75,-38.95
