"SpecCode","Species","Author","name_in_mydb","gbif_dwnld_date","gbif_TaxonKey","maxrecords_in_gbif","maxrecords_PRESENT_only","comments","gbif_dwnld_type","cleaned_records","maxTtol_K0.1","minTtol_K0.1","maxTtol_celcius","minTtol_celcius"
268,"Abramis brama","(Linnaeus, 1758)","Abramis brama","2022-09-16",9809222,363087,361028,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9809222&occurrence_status=present","manual",349411,3064.6,2507.4,33.31,-22.41
4875,"Alburnoides bipunctatus","(Bloch, 1782)","Alburnoides bipunctatus","2022-09-16",2360305,211111,211074,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2360305&occurrence_status=present","manual",207856,3070.4,2572.6,33.89,-15.89
4730,"Alburnus alburnus","(Linnaeus, 1758)","Alburnus alburnus","2022-09-16",2362925,440694,438615,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2362925&occurrence_status=present","manual",429842,3089,2542.8,35.75,-18.8699999999999
1578,"Alosa chrysochloris","(Rafinesque, 1820)","Alosa chrysochloris","2022-09-16",2412681,4433,1467,NA,"code",691,3066,2650.2,33.45,-8.13
1583,"Alosa pseudoharengus","(Wilson, 1811)","Alosa pseudoharengus","2022-09-16",2412740,80160,79360,NA,"code",37046,3057,2539,32.55,-19.25
3361,"Ambloplites rupestris","(Rafinesque, 1817)","Ambloplites rupestris","2022-09-16",2394514,34499,34486,NA,"code",27621,3087.2,2530.2,35.57,-20.13
291,"Ameiurus melas","(Rafinesque, 1820)","Ameiurus melas","2022-09-16",2340977,45275,45147,NA,"code",38625,3157,2541.2,42.55,-19.03
3021,"Ameiurus natalis","(Lesueur, 1819)","Ameiurus natalis","2022-09-16",2340969,27875,27860,NA,"code",18923,3161,2559,42.95,-17.25
3022,"Ameiurus nebulosus","(Lesueur, 1819)","Ameiurus nebulosus","2022-09-16",2340989,43075,42808,NA,"code",38865,3137.4,2526.2,40.59,-20.53
2600,"Amia calva","Linnaeus, 1766","Amia calva","2022-09-16",5207891,11367,11343,NA,"code",8646,3081.2,2562,34.97,-16.95
35,"Anguilla anguilla","(Linnaeus, 1758)","Anguilla anguilla","2022-09-16",5212973,629379,594222,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5212973&occurrence_status=present","manual",559978,3089,2568.8,35.75,-16.27
297,"Anguilla australis","Richardson, 1841","Anguilla australis","2022-09-16",5712356,33395,33390,NA,"code",30900,3036.4,2703.4,30.49,-2.80999999999995
11878,"Anguilla dieffenbachii","Gray, 1842","Anguilla dieffenbachii","2022-09-16",5213018,35213,35212,NA,"code",32962,2997,2659.4,26.55,-7.20999999999998
3577,"Aplodinotus grunniens","Rafinesque, 1819","Aplodinotus grunniens","2022-09-16",2400265,11840,11823,NA,"code",9013,3106.2,2519.8,37.47,-21.17
