"SpecCode","Species","Author","name_in_mydb","gbif_dwnld_date","gbif_TaxonKey","maxrecords_in_gbif","maxrecords_PRESENT_only","comments","gbif_dwnld_type"
268,"Abramis brama","(Linnaeus, 1758)","Abramis brama","2022-09-16",9809222,363087,361028,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9809222&occurrence_status=present","manual"
4875,"Alburnoides bipunctatus","(Bloch, 1782)","Alburnoides bipunctatus","2022-09-16",2360305,211111,211074,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2360305&occurrence_status=present","manual"
4730,"Alburnus alburnus","(Linnaeus, 1758)","Alburnus alburnus","2022-09-16",2362925,440694,438615,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2362925&occurrence_status=present","manual"
1578,"Alosa chrysochloris","(Rafinesque, 1820)","Alosa chrysochloris","2022-09-16",2412681,4433,1467,NA,"code"
1583,"Alosa pseudoharengus","(Wilson, 1811)","Alosa pseudoharengus","2022-09-16",2412740,80160,79360,NA,"code"
3361,"Ambloplites rupestris","(Rafinesque, 1817)","Ambloplites rupestris","2022-09-16",2394514,34499,34486,NA,"code"
291,"Ameiurus melas","(Rafinesque, 1820)","Ameiurus melas","2022-09-16",2340977,45275,45147,NA,"code"
3021,"Ameiurus natalis","(Lesueur, 1819)","Ameiurus natalis","2022-09-16",2340969,27875,27860,NA,"code"
3022,"Ameiurus nebulosus","(Lesueur, 1819)","Ameiurus nebulosus","2022-09-16",2340989,43075,42808,NA,"code"
2600,"Amia calva","Linnaeus, 1766","Amia calva","2022-09-16",5207891,11367,11343,NA,"code"
35,"Anguilla anguilla","(Linnaeus, 1758)","Anguilla anguilla","2022-09-16",5212973,629379,594222,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5212973&occurrence_status=present","manual"
297,"Anguilla australis","Richardson, 1841","Anguilla australis","2022-09-16",5712356,33395,33390,NA,"code"
11878,"Anguilla dieffenbachii","Gray, 1842","Anguilla dieffenbachii","2022-09-16",5213018,35213,35212,NA,"code"
3577,"Aplodinotus grunniens","Rafinesque, 1819","Aplodinotus grunniens","2022-09-16",2400265,11840,11823,NA,"code"
6377,"Barbatula barbatula","(Linnaeus, 1758)","Barbatula barbatula","2022-09-16",5204862,644885,644819,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5204862&occurrence_status=present","manual"
65106,"Barbatula quignardi","(Băcescu-Meşter, 1967)","Barbatula quignardi","2022-09-16",2357565,10788,10788,NA,"code"
4472,"Barbus barbus","(Linnaeus, 1758)","Barbus barbus","2022-09-16",5739539,269531,269507,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5739539&occurrence_status=present","manual"
5424,"Barbus meridionalis","Risso, 1827","Barbus meridionalis","2022-09-16",5739559,38354,38353,NA,"code"
4471,"Blicca bjoerkna","(Linnaeus, 1758)","Blicca bjoerkna","2022-09-16",2359471,185404,183639,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2359471&occurrence_status=present","manual"
2743,"Campostoma anomalum","(Rafinesque, 1820)","Campostoma anomala","2022-09-16",2361357,21912,21902,NA,"code"
271,"Carassius auratus","(Linnaeus, 1758)","Carassius auratus","2022-09-16",4286942,55317,54604,NA,"code"
270,"Carassius carassius","(Linnaeus, 1758)","Carassius carassius","2022-09-16",2366645,35874,34052,NA,"code"
2957,"Carpiodes carpio","(Rafinesque, 1820)","Carpiodes carpio","2022-09-16",2358948,6592,6568,NA,"code"
4775,"Carpiodes cyprinus","(Lesueur, 1817)","Carpiodes cyprinus","2022-09-16",2358950,4040,4031,NA,"code"
2965,"Catostomus commersonii","(Lacepède, 1803)","Catostomus commersonii","2022-09-16",2359014,53802,53790,NA,"code"
2499,"Chelon labrosus","(Risso, 1827)","Chelon labrosus","2022-09-16",2400863,14087,14039,NA,"code"
4878,"Chondrostoma nasus","(Linnaeus, 1758)","Chondrostoma nasus","2022-09-16",2360551,63282,63255,NA,"code"
2747,"Clinostomus funduloides","Girard, 1856","Clinostomus sp","2022-09-16",2361174,3962,3962,NA,"code"
6378,"Cobitis taenia","Linnaeus, 1758","Cobitis taenia","2022-09-16",2368185,49619,49603,NA,"code"
235,"Coregonus artedi","Lesueur, 1818","Coregonus artedi","2022-09-16",2351092,9903,9866,NA,"code"
234,"Coregonus clupeaformis","(Mitchill, 1818)","Coregonus clupeaformis","2022-09-16",2351119,10909,10896,NA,"code"
4065,"Cottus bairdii","Girard, 1850","Cottus bairdii","2022-09-16",2334131,9055,9051,NA,"code"
2439,"Cottus gobio","Linnaeus, 1758","Cottus gobio","2022-09-16",7807208,680899,680847,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=7807208&occurrence_status=present","manual"
8419,"Cottus poecilopus","Heckel, 1837","Cottus poecilopus","2022-09-16",2334159,42214,42209,NA,"code"
79,"Ctenopharyngodon idella","(Valenciennes, 1844)","Ctenopharyngodon idella","2022-09-16",2362030,7816,7813,NA,"code"
2859,"Cyprinella galactura","(Cope, 1868)","Cyprinella galactura","2023-08-02",5207653,2989,2989,NA,"code"
2876,"Cyprinella lutrensis","(Baird & Girard, 1853)","Cyprinella lutrensis","2022-09-16",5207666,32337,32319,NA,"code"
2903,"Cyprinella spiloptera","(Cope, 1867)","Cyprinella spiloptera","2022-09-16",5207691,9874,9871,NA,"code"
