"source","STUDY_ID","newsite","REALM","TAXA","ORGANISMS","nyr_used","startyr","endyr","LONGITUDE","LATITUDE","citation_1","citation_2","citation_3","citation_4","citation_5","citation_6"
"BioTIME","57","57","Freshwater","fish","fish",32,1981,2012,-89.4946,43.9928,"NTL LTER ""NTLFI02 North Temperate Lakes LTER: Fish Abundance 1981 - current"". North Temperate Lakes Long Term Ecological Research program, NSF. Center for Limnology, University of Wisconsin-Madison. Available at: https://lter.limnology.wisc.edu/dataset/north-temperate-lakes-lter-fish-abundance-1981-current, accessed 2012.","Dornelas, M., Antão, L.H., Moyes, F., Bates, A.E., Magurran, A.E., Adam, D., et al. (2018). BioTIME: A database of biodiversity time series for the Anthropocene. Glob. Ecol. Biogeogr., 27, 760–786.","BioTIME Consortium. (2018). BioTIME (Version 2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.5026943","","",""
"BioTIME","229","STUDY_ID_229_LAT35.04016_LON-83.36127","Freshwater","fish","fish",23,1990,2013,-83.36127,35.04016,"McLarney, W. O., Meador, J. & Chamblee, J. (2010) “Upper Little Tennessee River Biomonitoring Program Database.” Coweeta Long Term Ecological Research Program. Available at: https://coweeta.uga.edu/dbpublic/dataset_details.asp?accession=4045, accessed 2012.","Dornelas, M., Antão, L.H., Moyes, F., Bates, A.E., Magurran, A.E., Adam, D., et al. (2018). BioTIME: A database of biodiversity time series for the Anthropocene. Glob. Ecol. Biogeogr., 27, 760–786.","BioTIME Consortium. (2018). BioTIME (Version 2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.5026943","","",""
"BioTIME","229","STUDY_ID_229_LAT35.11187_LON-83.39091","Freshwater","fish","fish",20,1990,2013,-83.39091,35.11187,"McLarney, W. O., Meador, J. & Chamblee, J. (2010) “Upper Little Tennessee River Biomonitoring Program Database.” Coweeta Long Term Ecological Research Program. Available at: https://coweeta.uga.edu/dbpublic/dataset_details.asp?accession=4045, accessed 2012.","Dornelas, M., Antão, L.H., Moyes, F., Bates, A.E., Magurran, A.E., Adam, D., et al. (2018). BioTIME: A database of biodiversity time series for the Anthropocene. Glob. Ecol. Biogeogr., 27, 760–786.","BioTIME Consortium. (2018). BioTIME (Version 2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.5026943","","",""
"BioTIME","229","STUDY_ID_229_LAT35.14137_LON-83.29577","Freshwater","fish","fish",21,1991,2012,-83.29577,35.14137,"McLarney, W. O., Meador, J. & Chamblee, J. (2010) “Upper Little Tennessee River Biomonitoring Program Database.” Coweeta Long Term Ecological Research Program. Available at: https://coweeta.uga.edu/dbpublic/dataset_details.asp?accession=4045, accessed 2012.","Dornelas, M., Antão, L.H., Moyes, F., Bates, A.E., Magurran, A.E., Adam, D., et al. (2018). BioTIME: A database of biodiversity time series for the Anthropocene. Glob. Ecol. Biogeogr., 27, 760–786.","BioTIME Consortium. (2018). BioTIME (Version 2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.5026943","","",""
"BioTIME","229","STUDY_ID_229_LAT35.15409_LON-83.48787","Freshwater","fish","fish",21,1990,2013,-83.48787,35.15409,"McLarney, W. O., Meador, J. & Chamblee, J. (2010) “Upper Little Tennessee River Biomonitoring Program Database.” Coweeta Long Term Ecological Research Program. Available at: https://coweeta.uga.edu/dbpublic/dataset_details.asp?accession=4045, accessed 2012.","Dornelas, M., Antão, L.H., Moyes, F., Bates, A.E., Magurran, A.E., Adam, D., et al. (2018). BioTIME: A database of biodiversity time series for the Anthropocene. Glob. Ecol. Biogeogr., 27, 760–786.","BioTIME Consortium. (2018). BioTIME (Version 2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.5026943","","",""
"BioTIME","229","STUDY_ID_229_LAT35.15755_LON-83.38673","Freshwater","fish","fish",23,1990,2013,-83.38673,35.15755,"McLarney, W. O., Meador, J. & Chamblee, J. (2010) “Upper Little Tennessee River Biomonitoring Program Database.” Coweeta Long Term Ecological Research Program. Available at: https://coweeta.uga.edu/dbpublic/dataset_details.asp?accession=4045, accessed 2012.","Dornelas, M., Antão, L.H., Moyes, F., Bates, A.E., Magurran, A.E., Adam, D., et al. (2018). BioTIME: A database of biodiversity time series for the Anthropocene. Glob. Ecol. Biogeogr., 27, 760–786.","BioTIME Consortium. (2018). BioTIME (Version 2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.5026943","","",""
"BioTIME","229","STUDY_ID_229_LAT35.2087_LON-83.3515","Freshwater","fish","fish",23,1990,2013,-83.3515,35.2087,"McLarney, W. O., Meador, J. & Chamblee, J. (2010) “Upper Little Tennessee River Biomonitoring Program Database.” Coweeta Long Term Ecological Research Program. Available at: https://coweeta.uga.edu/dbpublic/dataset_details.asp?accession=4045, accessed 2012.","Dornelas, M., Antão, L.H., Moyes, F., Bates, A.E., Magurran, A.E., Adam, D., et al. (2018). BioTIME: A database of biodiversity time series for the Anthropocene. Glob. Ecol. Biogeogr., 27, 760–786.","BioTIME Consortium. (2018). BioTIME (Version 2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.5026943","","",""
"BioTIME","430","STUDY_ID_430_basin_80355","Freshwater","fish","fish",28,1986,2015,175.1292,-37.61422,"NIWA “The New Zealand Freshwater Fish Database”. Available at: https://www.niwa.co.nz/our-services/online-services/freshwater-fish-database, accessed 2016.","Dornelas, M., Antão, L.H., Moyes, F., Bates, A.E., Magurran, A.E., Adam, D., et al. (2018). BioTIME: A database of biodiversity time series for the Anthropocene. Glob. Ecol. Biogeogr., 27, 760–786.","BioTIME Consortium. (2018). BioTIME (Version 2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.5026943","","",""
"BioTIME","430","STUDY_ID_430_basin_98961","Freshwater","fish","fish",24,1985,2016,170.2746,-43.73659,"NIWA “The New Zealand Freshwater Fish Database”. Available at: https://www.niwa.co.nz/our-services/online-services/freshwater-fish-database, accessed 2016.","Dornelas, M., Antão, L.H., Moyes, F., Bates, A.E., Magurran, A.E., Adam, D., et al. (2018). BioTIME: A database of biodiversity time series for the Anthropocene. Glob. Ecol. Biogeogr., 27, 760–786.","BioTIME Consortium. (2018). BioTIME (Version 2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.5026943","","",""
"BioTIME","430","STUDY_ID_430_basin_100981","Freshwater","fish","fish",28,1985,2016,170.044,-45.97848,"NIWA “The New Zealand Freshwater Fish Database”. Available at: https://www.niwa.co.nz/our-services/online-services/freshwater-fish-database, accessed 2016.","Dornelas, M., Antão, L.H., Moyes, F., Bates, A.E., Magurran, A.E., Adam, D., et al. (2018). BioTIME: A database of biodiversity time series for the Anthropocene. Glob. Ecol. Biogeogr., 27, 760–786.","BioTIME Consortium. (2018). BioTIME (Version 2) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.5026943","","",""
