Avibase.ID,spname,possible_sp,comments
AVIBASE-85625D75,Anas platyrhynchos diazi,Anas platyrhynchos,https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=D6F5A788399B36E7&sec=synonyms
AVIBASE-EC9E9745,Aphelocoma californica / woodhouseii,Aphelocoma woodhouseii,"both names exists in two different source, but based on occurrence in BBS data, matched location is  https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=5CA7CBDB7BBB837C&sec=map"
AVIBASE-87878948,Artemisiospiza nevadensis / belli,Artemisiospiza belli,"both names exists in two different source, but see this https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=81ED2EDB9531041A&sec=map"
AVIBASE-B488AB70,Baeolophus bicolor / atricristatus,Baeolophus bicolor,"both names exists in two different source, but based on occurrence in BBS data, matched location is https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=B488AB7003F21AE7&sec=map"
AVIBASE-0B397CB0,Carduelis flammea / hornemanni,Carduelis hornemanni,"both species occurs in same region as we found in BBS, but based on synonyms I choose this https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=D23A3F75CCD56E6B&sec=synonyms"
AVIBASE-75600969,Colaptes auratus auratus,Colaptes auratus,based on synonyms I choose this https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=756009696D15E8A0&sec=synonyms
AVIBASE-6CC34F06,Colaptes auratus cafer,Colaptes cafer,based on synonyms I choose this https://avibase.bsc-eoc.org/species.jsp?avibaseid=6CC34F061B42BC2F
AVIBASE-2F784967,Corvus brachyrhynchos / caurinus,Corvus brachyrhynchos caurinus,based on synonyms I choose this https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=2F784967D3BE1046&sec=synonyms
AVIBASE-43E56D2C,Corvus brachyrhynchos / ossifragus,Corvus ossifragus,"spname matched with Avibase ID-C80340E4 but for that no life-history found, so considering the closest avialable one, both found in the same location as mapped in BBS, though Avibase ID-C80340E4 has relatively much smaller range, https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=43E56D2CAA66A6CA&sec=summary (consider this) over this https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=C80340E40B552101&sec=summary"
AVIBASE-F3B84E07,Corvus cryptoleucus / corax,Corvus cryptoleucus,"both sp found on same location, but based on specific range size, I think Corvus cryptoleucus particularly high chance to be found there (BBS location for intermountain grassland), https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=F3B84E07E9CB77D9&sec=map"
AVIBASE-499FFF98,Empidonax sp.,Empidonax oberholseri,"This species is found along all the routes where  Empidonax sp. were recorded, for details see code get_birdtraits_from_AVONET.R"
AVIBASE-23863F65,Gull sp.,Larus delawarensis,"This species is found along all the routes where  other gull sp. were recorded, for details see code get_birdtraits_from_AVONET.R"
AVIBASE-05FF3C9B,Junco hyemalis aikeni,Junco hyemalis,"spname matched with Avibase ID-281ADD9E but for that no life-history found, so considering the closest avialable one, both found in the same location as mapped in BBS, though Avibase ID-281ADD9E has relatively much smaller range https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=281ADD9E48327D42&sec=map,  over this https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=05FF3C9B3C854D53&sec=map"
