"SpecCode","Species","Author","Length","LTypeMaxM","LengthFemale","LTypeMaxF","MaxLengthRef","CommonLength","LTypeComM","CommonLengthF","LTypeComF","CommonLengthRef","Weight","WeightFemale","MaxWeightRef","Comments","name_in_mydb"
268,"Abramis brama","(Linnaeus, 1758)",82,"TL",NA,NA,6114,25,"TL",NA,NA,3561,6010,NA,4699,"Adults inhabit a wide variety of lakes and large to medium sized rivers.  Most abundant in backwaters, lower parts of slow-flowing rivers, brackish estuaries and warm and shallow lakes (Ref. 59043).  Adults occur usually in still and slow-running waters where they travel in large shoals (Ref. 9696).  Larvae and juveniles live in still water bodies, feeding on plankton. One to two years old juveniles move from backwaters to river to feed. In the absence of opportunity to leave backwaters, juveniles may adapt but have a slower growth and attain maturity at a smaller size.  They also drift to brackishwater estuaries to forage when water level of flooded areas drops in lower reaches of large rivers. Foraging juveniles in brackish waters stay in lower parts of rivers to overwinter in freshwater (Ref. 59043).  Feed on insects, particularly chironomids, small crustaceans, mollusks and plants.  Larger specimens may feed on small fish.  Juveniles feed on zooplankton (Ref. 30578).  Able to shift to particle feeding or even filter feeding at high zooplankton abundance.  Usually spawn in backwaters, floodplains or lakes shores with dense vegetation (Ref. 59043).  Can survive out of the water for extended periods (Ref. 9988).  The flesh is bony, insipid and soft (Ref. 30578).  Marketed fresh or frozen.  Eaten steamed, broiled, fried and baked (Ref. 9988).","Abramis brama"
4875,"Alburnoides bipunctatus","(Bloch, 1782)",18.5,"TL",NA,NA,88163,9,"TL",NA,NA,556,30,NA,30578,"Inhabit streams and rivers in foothills with well oxygenated, fast-flowing water.  All age classes occur in open water of streams and small rivers (Ref. 59043).  Found also in rivers with very calm waters.  Feed on insect larvae and dead insects (Ref. 9696), as well as on crustaceans and diatoms.  Spawn in small groups and lay eggs deep into gravel with swift current.  Locally threatened by stream regulation, trout stocking and pollution.  Attain a maximum size of up to about 13 cm SL (Ref. 59043).","Alburnoides bipunctatus"
4730,"Alburnus alburnus","(Linnaeus, 1758)",25,"TL",NA,NA,30578,15,"TL",NA,NA,30578,60,NA,30578,"Inhabits open waters of lakes and medium to large rivers.  Forms large aggregations in backwaters and other still waters during winter.  Adults occur in shoals near the surface. Larvae live in littoral zone of rivers and lakes while juveniles leave shores and occupy a pelagic habitat, feeding on plankton, drifting insects or invertebrates fallen on the water surface (Ref. 59043).  Feeds mainly on plankton, including crustaceans (Ref. 30578) and  insects (Ref. 9696).  Spawns in shallow riffles or along stony shores of lakes, occasionally above submerged vegetation (Ref. 59043).  Excellent as bait for carnivorous fishes.  May be captured using the smallest hook and a fly as bait.  Its flesh is tasty (Ref. 30578).  Of little interest to commercial or sport fisheries in its native range because of its small size (Ref. 1739).  Scales were previously utilized in making Essence d""Orient, a coating for artificial pearls (Ref. 59043).","Alburnus alburnus"
1578,"Alosa chrysochloris","(Rafinesque, 1820)",41.7648128376964,"TL",NA,NA,188,37.5,"SL",NA,NA,188,1700,NA,4699,"Generally present in coastal marine water (Ref. 37039). Enter brackish- and freshwaters, but perhaps not always or not consistently anadromous (Ref. 188), although strongly migratory within rivers (Ref. 10294) , mostly in fast-flowing water where they are renowned for leaping.  Feed on small fishes, the juveniles on insects.  Spawning times and places not certain.  Adults serve as hosts to the larvae (glochidia) of the economically valuable pearly mussel (<i>Fusconaia ebena</i>) of the Mississippi basin (Ref. 188).","Alosa chrysochloris"
1583,"Alosa pseudoharengus","(Wilson, 1811)",31.2070908025924,"TL",NA,NA,7251,30,"SL",NA,NA,7251,200,NA,7251,"Occurs in open water over all bottom types (Ref.  86798).  Movement of schooling adults apparently restricted to coastal areas proximal to natal estuaries (Ref. 4639).  They migrate up rivers and even small streams to spawn in lakes and quiet stretches of rivers, then return to sea shortly after spawning (Ref. 4639); landlocked populations also ascend affluent rivers and streams.  Larvae remain in vicinity of spawning grounds, forming schools at sizes less than 10 mm TL, within one to two weeks after hatching (Ref. 4639), then descend in summer and autumn or even as late as November or December.  Feed on shrimps and small fishes; the young on diatoms, copepods and ostracods while in rivers.  Utilized fresh, dried or salted, smoked and frozen; eaten fried (Ref. 9988).  Also used for crab and lobster bait and sometimes for pet food (Ref. 9988).  Parasites found are Acanthocephala, cestodes, trematodes and copepods.  Overfishing, pollution and impassable dams cause the decline of stocks (Ref. 37032).","Alosa pseudoharengus"
3361,"Ambloplites rupestris","(Rafinesque, 1817)",43,"TL",NA,NA,86798,15.3999996185303,"TL",NA,NA,12193,1360,NA,4699,"Occurs usually in rocky areas in shallow water of lakes, and the lower, warm reaches of streams (Ref. 1998).  Inhabits vegetated and brushy stream margins, pools of creeks and small to medium rivers, and rocky and vegetated margins of lakes (Ref. 86798).  Commonly found in clear, silt-free rocky streams (Ref. 86798).  Feeds on small crustaceans, insects and fish (Ref. 30578).  An introduced species in Europe which avoids swift waters and occurs in a wide variety of slow-flowing to stagnant waters such as large rivers, lakes, ponds, canals and backwaters (Ref. 59043).","Ambloplites rupestris"
291,"Ameiurus melas","(Rafinesque, 1820)",66,"TL",NA,NA,40637,26.6000003814697,"TL",NA,NA,12193,3620,NA,4699,"Inhabits pools, backwaters, and sluggish current over soft substrates in creeks and small to large rivers; impoundments, oxbows, and ponds.  Nocturnal feeder, young consume immature insects, leeches, and crustaceans while adults also feed on clams, snails, plant material, and fishes (Ref. 1998, 9669, 10294).  Edible (Ref. 1998).  Are susceptible of being caught, where they are abundant, with baited lines intended for other species.  Is considered a nuisance (Ref. 30578). Often misidentified as <i>A. nebulosus</i> (Ref. 59043). ","Ameiurus melas"
3021,"Ameiurus natalis","(Lesueur, 1819)",60,"TL",NA,NA,27549,22.5,"TL",NA,NA,12193,1920,NA,4699,"Pools, backwaters, and sluggish current over soft substrate in creeks and small to large rivers; oxbows, ponds, and impoundments (Ref. 5723, 10294). Feeds on variety of insects and other bottom dwelling organisms such as mollusks and crustaceans (Ref. 27549).","Ameiurus natalis"
3022,"Ameiurus nebulosus","(Lesueur, 1819)",55,"TL",NA,NA,40637,25,"TL",NA,NA,556,2740,NA,40637,"Occurs in pools and sluggish runs over soft substrates in creeks and small to large rivers.  Also found in impoundments, lakes, and ponds (Ref. 86798).  Rarely enters brackish waters (Ref. 1998).  A nocturnal feeder that feeds mollusks, insects, leeches, crayfish and plankton, worms, algae, plant material, fishes and has been reported to feed on eggs of least cisco, herring and lake trout (Ref. 1998).  Juveniles (3-6 cm) feed mostly on chironomid larvae, cladocerans, ostracods, amphipods, bugs and mayflies (Ref. 1998).  Can tolerate high carbon dioxide and low oxygen concentrations and temperatures up to 31.6 °C although experiments show upper lethal temp.  to be 37.5 °C; resistant to domestic and industrial pollution (Ref. 1998).  Has been observed to bury itself in mud to escape adverse environmental conditions (Ref. 1998).  Prepared hot-smoked and also cooked in various ways (Ref. 1998).","Ameiurus nebulosus"
2600,"Amia calva","Linnaeus, 1766",109,"TL",NA,NA,86798,53.3499984741211,"TL",NA,NA,12193,9750,NA,4699,"It inhabits swamps, sloughs, lakes, and pools and backwaters of lowland streams (Ref. 86798). It is usually found near vegetation (Ref. 86798). Air-breather that can withstand high temperatures, which enables it to survive in stagnant areas; even known to aestivate; lethal temperature is 35.2°C (Ref. 46234).  A voracious and opportunist feeder, subsisting on fishes including other sport fishes, frogs, crayfish, insects, and shrimps.  It uses scent as much as sight and captures food by means of gulping water. Small juveniles eat microcrustaceans and insects (Ref. 93252). Males are always smaller than females which live longer.  Apparently somewhat migratory during spawning season (Ref. 4639).  Eggs are adhesive, attached to decaying vegetation and upright weeds (Ref. 4639).  Larvae are found in nest, remaining attached to roots or lying on bottom until adhesive organ is absorbed, thereafter in tight ""swarm"" guarded by male parent outside nest (Ref. 4639).  A 'living fossil' and lone survivor species of Family Amiidae.","Amia calva"
