SpecCode,Species,Author,Length,LTypeMaxM,LengthFemale,LTypeMaxF,MaxLengthRef,CommonLength,LTypeComM,CommonLengthF,LTypeComF,CommonLengthRef,Weight,WeightFemale,MaxWeightRef,Comments,possible_sp
NA,Campostoma anomala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.fishbase.se/summary/Campostoma-anomalum.html,Campostoma anomalum
NA,Catasomus commersoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.fishbase.se/summary/Catostomus-commersonii.html,Catostomus commersonii
NA,Clinostomus sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.fishbase.se/summary/Clinostomus-funduloides.html,Clinostomus funduloides
NA,logperch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.fishbase.se/summary/Percina-caprodes.html,Percina caprodes
NA,Opsopoeodus emiliae emiliae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.fishbase.se/summary/Opsopoeodus-emiliae.html,Opsopoeodus emiliae
NA,Pomoxis nigromaculatuss,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.fishbase.se/summary/Pomoxis-nigromaculatus.html,Pomoxis nigromaculatus
NA,pumpkinseed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.fishbase.se/Summary/SpeciesSummary.php?ID=3372&AT=pumpkinseed,Lepomis gibbosus
NA,smallmouth bass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.fishbase.se/Summary/SpeciesSummary.php?ID=3382&AT=smallmouth+bass,Micropterus dolomieu
NA,Stizostedion vitreum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.fishbase.se/summary/3516,Sander vitreus
NA,tessellated darter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.fishbase.se/Summary/SpeciesSummary.php?ID=3450&AT=tessellated+darter,Etheostoma olmstedi
NA,trout-perch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.fishbase.se/Summary/SpeciesSummary.php?ID=3065&AT=trout-perch,Percopsis omiscomaycus
NA,walleye,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.fishbase.se/Summary/SpeciesSummary.php?ID=3516&AT=walleye,Sander vitreus
NA,white bass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.fishbase.se/Summary/SpeciesSummary.php?ID=3308&AT=white+bass,Morone chrysops
NA,white perch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.fishbase.se/Summary/SpeciesSummary.php?ID=355&AT=white+perch,Morone americana
NA,yellow perch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.fishbase.se/Summary/SpeciesSummary.php?ID=359&AT=yellow+perch,Perca flavescens
