"spname","poscorsite","negcorsite","zerocorsite","poscorval","negcorval","zerocorval","occur_sites","avgcorval"
"Acanthis flammea",11,8,0,2.79259832382393,-1.54090018147935,0,19,0.0658788495970833
"Accipiter cooperii",1,0,0,0.119924352727847,0,0,1,0.119924352727847
"Accipiter gentilis",1,0,0,0.0664512584819648,0,0,1,0.0664512584819648
"Accipiter striatus",0,1,0,0,-0.013794637976116,0,1,-0.013794637976116
"Acrocephalus palustris",0,1,0,0,-0.218969048897933,0,1,-0.218969048897933
"Actitis macularius",28,23,0,6.07041027210272,-5.05815730322783,0,51,0.0198480974289195
"Aechmophorus clarkii",2,0,0,0.257028862375905,0,0,2,0.128514431187952
"Aechmophorus occidentalis",3,3,0,0.305002074459448,-0.52814958585049,0,6,-0.037191251898507
"Aeronautes saxatalis",9,5,0,2.72873053995112,-0.97176476996135,0,14,0.125497554999269
"Agelaius phoeniceus",468,536,0,103.923815827569,-95.0010731648713,0,1004,0.00888719388714872
"Agelaius tricolor",0,3,0,0,-0.977699760595049,0,3,-0.32589992019835
"Aimophila ruficeps",10,7,0,2.16917190904573,-1.7371943856264,0,17,0.0254104425540782
"Aix sponsa",15,7,0,2.35503980050265,-1.43098219789849,0,22,0.0420026183001887
"Alca torda",1,0,0,0.423870478336444,0,0,1,0.423870478336444
"Alectoris chukar",3,1,0,1.1562692915835,-0.186073221377232,0,4,0.242549017551567
"Ammodramus henslowii",0,1,0,0,-0.219127440721246,0,1,-0.219127440721246
"Ammodramus savannarum",62,118,0,14.2200751700364,-20.5377926638092,0,180,-0.0350984305209604
"Ammospiza leconteii",20,6,0,3.84078659502781,-0.710476845264199,0,26,0.120396528837062
"Ammospiza maritima",4,3,0,0.722037477899201,-0.658537299754711,0,7,0.00907145402064136
"Ammospiza nelsoni",0,5,0,0,-1.0228782482306,0,5,-0.20457564964612
"Amphispiza bilineata",42,22,0,12.0959382310278,-5.73555927163847,0,64,0.0993809212404585
"Anas acuta",14,12,0,4.18727777162182,-2.59095908997461,0,26,0.0613968723710463
"Anas crecca",5,6,0,0.998608032670704,-0.974331879172325,0,11,0.00220692304530712
"Anas fulvigula",1,1,0,0.245250573489482,-0.138114657076461,0,2,0.0535679582065106
