"spname","poscorsite","negcorsite","zerocorsite","poscorval","negcorval","zerocorval","occur_sites","avgcorval"
"Abramis brama",6,1,0,1.31160799251134,-0.348443939686229,0,7,0.137594864689301
"Alburnoides bipunctatus",19,5,0,6.34931843798191,-0.68125310205584,0,24,0.236169388996919
"Alburnus alburnus",34,12,0,8.66098294522675,-2.20955626739065,0,46,0.140248406039915
"Alosa chrysochloris",4,8,0,0.250020774014239,-1.50963468177735,0,12,-0.104967825646926
"Alosa pseudoharengus",0,1,0,0,-0.129298609251971,0,1,-0.129298609251971
"Ambloplites rupestris",17,5,0,4.45324563473379,-0.241896957069583,0,22,0.191424939893827
"Ameiurus melas",1,4,0,0.464724050087082,-1.05073535930538,0,5,-0.117202261843659
"Ameiurus natalis",3,2,0,0.371514839464052,-0.539211134323568,0,5,-0.0335392589719032
"Ameiurus nebulosus",0,1,0,0,-0.234662552820606,0,1,-0.234662552820606
"Amia calva",6,6,0,0.2951596217377,-0.852018907848298,0,12,-0.0464049405092165
"Anguilla anguilla",47,59,0,10.6372040568157,-9.34194720486944,0,106,0.0122194042636437
"Anguilla australis",0,1,0,0,-0.111739772107628,0,1,-0.111739772107628
"Anguilla dieffenbachii",0,1,0,0,-0.128289647206293,0,1,-0.128289647206293
"Aplodinotus grunniens",25,36,0,5.6685259892472,-6.81928723565579,0,61,-0.0188649384657146
"Barbatula barbatula",67,23,0,15.9915407694596,-3.67456721294669,0,90,0.136855261739032
"Barbatula quignardi",6,2,0,0.95595283591435,-0.321184368456905,0,8,0.0793460584321807
"Barbus barbus",41,12,0,8.77748860529379,-2.06458447614593,0,53,0.126658568474488
"Barbus meridionalis",0,1,0,0,-0.0531127608016251,0,1,-0.0531127608016251
"Blicca bjoerkna",9,4,0,2.64612007003342,-0.867269183724453,0,13,0.136834683562228
"Campostoma anomala",1,0,0,0.167614384788242,0,0,1,0.167614384788242
"Carassius auratus",1,2,0,0.0401439110095036,-0.589682837561038,0,3,-0.183179642183845
"Carassius carassius",2,0,0,0.188517612567431,0,0,2,0.0942588062837157
"Carpiodes carpio",14,15,0,3.31020539033753,-2.14712415242675,0,29,0.0401062495831304
"Carpiodes cyprinus",0,5,0,0,-0.90866655180451,0,5,-0.181733310360902
"Catasomus commersoni",0,1,0,0,-0.349765526664176,0,1,-0.349765526664176
"Catostomus commersonii",4,7,0,0.870321684630093,-0.946597507654781,0,11,-0.00693416572951717
"Chelon labrosus",0,1,0,0,-0.00143195789281263,0,1,-0.00143195789281263
"Chondrostoma nasus",14,4,0,2.98071319411497,-0.491705712707969,0,18,0.1382781934115
"Clinostomus sp",1,0,0,0.0441142314329683,0,0,1,0.0441142314329683
"Cobitis taenia",3,3,0,0.833567819362033,-0.259881106032925,0,6,0.095614452221518
"Coregonus artedi",0,1,0,0,-0.107404692082111,0,1,-0.107404692082111
"Coregonus clupeaformis",1,0,0,0.0712450705297702,0,0,1,0.0712450705297702
"Cottus bairdii",1,1,0,0.0375494071146245,-0.170330793384483,0,2,-0.0663906931349292
"Cottus gobio",117,83,0,27.4763109890911,-12.6030102841282,0,200,0.0743665035248145
"Cottus poecilopus",35,18,0,6.56990534318818,-2.88866902140348,0,53,0.0694572890902774
"Ctenopharyngodon idella",5,2,0,1.10819442962189,-0.183642299517149,0,7,0.132078875729249
"Cyprinella lutrensis",9,2,1,1.46059139860829,-0.054978841283677,0,12,0.117134379777051
"Cyprinella spiloptera",16,21,0,2.85979491318884,-3.08346650721873,0,37,-0.00604517821702403
"Cyprinus carpio",14,41,0,4.46556022972172,-6.97516747170075,0,55,-0.0456292225814369
"Dorosoma cepedianum",22,26,0,4.78021522739335,-5.10259184871069,0,48,-0.00671617961077803
"Dorosoma petenense",0,9,0,0,-1.50982460429366,0,9,-0.167758289365963
"Esox lucius",34,23,0,6.99281960877445,-4.05125172134771,0,57,0.0516064541653814
"Esox masquinongy",0,1,0,0,-0.0813934823314926,0,1,-0.0813934823314926
"Etheostoma asprigene",0,2,0,0,-0.524332284510263,0,2,-0.262166142255131
"Etheostoma exile",0,1,0,0,-0.209382327450209,0,1,-0.209382327450209
"Etheostoma nigrum",5,9,0,1.66274168741598,-1.96965584494809,0,14,-0.0219224398237222
"Fundulus notatus",1,2,0,0.00583292924990787,-0.508417273717963,0,3,-0.167528114822685
"Gambusia affinis",9,1,0,2.35575252170647,-0.185875512995896,0,10,0.216987700871058
"Gasterosteus aculeatus",3,3,0,0.575440388199154,-0.11526915498442,0,6,0.076695205535789
"Gobio gobio",48,36,0,12.820930434429,-6.31324035073186,0,84,0.0774725009963944
"Gobio lozanoi",2,3,0,0.0853890793751108,-0.563125535565894,0,5,-0.0955472912381566
"Gymnocephalus cernua",2,3,0,0.445354891662907,-0.200017742532766,0,5,0.0490674298260282
"Hiodon alosoides",0,3,0,0,-0.127141269678707,0,3,-0.0423804232262356
"Hypentelium nigricans",0,1,0,0,-0.11335043623162,0,1,-0.11335043623162
"Hypophthalmichthys molitrix",5,0,0,0.67472073552664,0,0,5,0.134944147105328
"Hypophthalmichthys nobilis",0,1,0,0,-0.0492605559108488,0,1,-0.0492605559108488
"Ictalurus furcatus",8,0,0,1.29680155389692,0,0,8,0.162100194237115
"Ictalurus punctatus",30,31,1,5.11791307774193,-4.25336349657807,0,62,0.0139443480832881
"Ictiobus bubalus",11,30,0,2.84947277097275,-4.81098837727569,0,41,-0.0478418440561692
"Ictiobus cyprinellus",4,13,0,0.774002953910207,-2.87764982079772,0,17,-0.123743933346324
"Ictiobus niger",11,6,0,1.54012685702298,-1.36363287650029,0,17,0.0103819988542761
"Labidesthes sicculus",17,2,0,4.42792595976368,-0.147179736679069,0,19,0.225302432793927
"Lepisosteus oculatus",2,2,0,0.611908569851296,-0.460732037603966,0,4,0.0377941330618327
"Lepisosteus osseus",9,6,0,1.33241856379174,-0.69779731709457,0,15,0.0423080831131445
"Lepisosteus platostomus",14,20,0,1.75694274225026,-3.55750882088966,0,34,-0.0529578258423354
"Lepomis cyanellus",14,4,0,2.23279892041044,-0.831078187402598,0,18,0.0778733740559914
"Lepomis gibbosus",23,13,0,5.69754124428013,-2.10199057538807,0,36,0.0998764074692238
"Lepomis gulosus",3,4,0,0.491785785086567,-0.546922406450977,0,7,-0.00787666019491572
"Lepomis humilis",21,5,0,4.2932108597231,-0.639949553998912,0,26,0.140510050220161
"Lepomis macrochirus",34,21,0,7.34334472181766,-2.06795363467614,0,55,0.0959162015843913
"Lepomis megalotis",1,0,0,0.354290309468589,0,0,1,0.354290309468589
"Leuciscus leuciscus",37,15,0,7.73692599511757,-2.13104380433118,0,52,0.107805426745892
"logperch",3,2,0,1.34362340728596,-0.32674907871888,0,5,0.203374865713415
"Lota lota",32,13,0,6.63330804268129,-1.57624141951613,0,45,0.112379258292559
"Luciobarbus graellsii",5,5,0,1.12974390286286,-1.0888769019731,0,10,0.00408670008897627
"Luxilus coccogenis",1,0,0,0.420688579702073,0,0,1,0.420688579702073
"Luxilus cornutus",0,1,0,0,-0.0452207838273427,0,1,-0.0452207838273427
"Macrhybopsis aestivalis",5,0,0,0.692942077563631,0,0,5,0.138588415512726
"Macrhybopsis storeriana",5,3,0,0.221648596053746,-0.302316475215802,0,8,-0.010083484895257
"Micropterus dolomieu",16,7,0,2.76740214375307,-1.41058767986909,0,23,0.0589919332123471
"Micropterus salmoides",29,14,0,7.06671927058043,-2.64825784186059,0,43,0.102754916946973
"Minytrema melanops",7,3,0,0.896975769753307,-0.485786728497668,0,10,0.0411189041255639
"Morone americana",7,2,0,1.20364898821384,-0.473422731275899,0,9,0.0811362507708819
"Morone chrysops",15,37,0,3.47186135784059,-7.2700489890821,0,52,-0.0730420698315674
"Morone mississippiensis",8,2,0,2.21282068587514,-0.340383170356922,0,10,0.187243751551822
"Moxostoma anisurum",5,11,0,0.471501486276228,-1.13385846627515,0,16,-0.0413973112499328
"Moxostoma carinatum",1,3,0,0.136644035941511,-0.209931222732213,0,4,-0.0183217966976754
"Moxostoma erythrurum",7,4,0,0.999092751846451,-0.531447291535433,0,11,0.042513223664638
"Moxostoma macrolepidotum",18,21,0,3.59084585851476,-3.20218048093409,0,39,0.00996577891232484
"Nocomis micropogon",1,0,0,0.306551382208584,0,0,1,0.306551382208584
"Notemigonus crysoleucas",8,7,0,0.759346033852403,-0.534052029732153,0,15,0.0150196002746833
"Notropis atherinoides",37,19,0,7.48129770587488,-3.22548468806232,0,56,0.0759966610323673
"Notropis blennius",7,14,0,1.91701791590474,-2.4051436667858,0,21,-0.0232440833752885
"Notropis heterodon",1,0,0,0.4031569028298,0,0,1,0.4031569028298
"Notropis heterolepis",1,0,0,0.045075222567631,0,0,1,0.045075222567631
"Notropis hudsonius",15,10,0,3.30805340365579,-1.33119100629787,0,25,0.0790744958943167
"Notropis leuciodus",1,0,0,0.23430551552665,0,0,1,0.23430551552665
"Notropis lutipinnis",1,0,0,0.285149505141366,0,0,1,0.285149505141366
"Notropis shumardi",4,0,0,0.838579941318195,0,0,4,0.209644985329549
"Notropis texanus",8,0,0,2.75462207627819,0,0,8,0.344327759534773
"Notropis volucellus",16,8,0,2.6872193994236,-0.84489986704354,0,24,0.0767633138491691
"Notropis wickliffi",14,0,0,3.55510410344248,0,0,14,0.253936007388748
"Noturus gyrinus",4,2,0,0.660670262781677,-0.230155370339308,0,6,0.0717524820737282
"Oncorhynchus mykiss",1,1,0,0.160041090322113,-0.168989089153603,0,2,-0.00447399941574531
"Opsopoeodus emiliae emiliae",0,7,0,0,-1.5361947517032,0,7,-0.219456393100457
"Osmerus mordax",1,0,0,0.25366568914956,0,0,1,0.25366568914956
"Parachondrostoma miegii",5,7,0,1.1282504764599,-0.973807322568068,0,12,0.0128702628243196
"Parachondrostoma toxostoma",1,1,0,0.20596560470753,-0.0109339049166076,0,2,0.0975158498954612
"Perca flavescens",23,10,0,4.32891612358905,-1.32556913295851,0,33,0.0910105148675922
"Perca fluviatilis",34,20,0,6.88726914997023,-2.41851878642518,0,54,0.0827546363619454
"Percina caprodes",14,4,0,2.65426506938161,-0.437899724718058,0,18,0.123131408036864
"Percina evides",0,1,0,0,-0.0446432086434271,0,1,-0.0446432086434271
"Percina shumardi",1,0,0,0.107953097238105,0,0,1,0.107953097238105
"Percopsis omiscomaycus",0,1,0,0,-0.200370621085983,0,1,-0.200370621085983
"Phenacobius crassilabrum",1,0,0,0.176182620602646,0,0,1,0.176182620602646
"Phoxinus bigerri",5,5,0,1.01024775838889,-0.58060487550574,0,10,0.0429642882883152
"Phoxinus phoxinus",160,79,0,33.0709711063161,-11.2248520062711,0,239,0.0914063560671341
"Pimephales notatus",1,0,0,0.0561777891863751,0,0,1,0.0561777891863751
"Pimephales vigilax",30,11,0,8.3283928736199,-1.3592260073961,0,41,0.169979679663995
"Platichthys flesus",2,3,0,0.311612787391287,-0.564556537897908,0,5,-0.0505887501013242
"Pomoxis annularis",8,15,0,1.89369868506858,-2.14150386268238,0,23,-0.0107741381571214
"Pomoxis nigromaculatus",21,22,0,4.49785870525603,-4.38535012038828,0,43,0.00261647871785463
"Pomoxis nigromaculatuss",0,1,0,0,-0.0909427543349717,0,1,-0.0909427543349717
"Pseudorasbora parva",1,1,0,0.035670015391933,-0.0204305819368476,0,2,0.0076197167275427
"pumpkinseed",2,7,0,0.285418756151146,-0.605849239284863,0,9,-0.0356033870148574
"Pungitius pungitius",1,2,0,0.0278883158667864,-0.220242332433771,0,3,-0.0641180055223281
"Pylodictis olivaris",21,25,0,3.38496523152149,-3.39801239956555,0,46,-0.000283634087914431
"Rhinichthys atratulus",0,1,0,0,-0.219238101731373,0,1,-0.219238101731373
"Rhinichthys cataractae",1,0,0,0.0820504463974139,0,0,1,0.0820504463974139
"Rhodeus amarus",16,3,0,5.02399782828734,-0.359168434853891,0,19,0.245517336496497
"Rhodeus sericeus",7,6,0,1.09240010227717,-1.01837269752124,0,13,0.00569441575045661
"Rutilus rutilus",37,39,0,7.18632245482654,-5.8757479689512,0,76,0.0172444011299387
"Salaria fluviatilis",1,1,0,0.440223256835307,-0.205348244303574,0,2,0.117437506265867
"Salmo salar",155,37,0,44.422227509155,-5.65430377135284,0,192,0.20191626946772
"Salmo trutta",196,127,0,45.353203871372,-19.3145502283759,0,323,0.0806150267585018
"Salvelinus fontinalis",1,1,0,0.281121767466292,-0.374148132120733,0,2,-0.0465131823272202
"Salvelinus namaycush",1,0,0,0.349468303658085,0,0,1,0.349468303658085
"Sander canadensis",6,21,0,1.92501700478158,-3.58314907853545,0,27,-0.0614122990279209
"Sander lucioperca",1,1,0,0.0171468000557168,-0.0584531108259673,0,2,-0.0206531553851253
"Sander vitreus",12,19,0,2.26163980481388,-2.44102512054026,0,31,-0.00578662308794784
"Scaphirhynchus platorynchus",2,2,0,0.189077096318316,-0.381774189085983,0,4,-0.0481742731919166
"Scardinius erythrophthalmus",5,6,0,0.943959219669241,-0.974931790232339,0,11,-0.00281568823300897
"Semotilus atromaculatus",0,1,0,0,-0.0903238595717136,0,1,-0.0903238595717136
"Silurus glanis",2,2,0,0.497971504839938,-0.152172671223682,0,4,0.0864497084040641
"smallmouth bass",2,0,0,0.225718672697956,0,0,2,0.112859336348978
"Squalius cephalus",58,25,0,14.3141451795017,-2.96087055318761,0,83,0.136786441280893
"Stizostedion vitreum",0,1,0,0,-0.190779116101046,0,1,-0.190779116101046
"Telestes souffia",1,0,0,0.12396695387606,0,0,1,0.12396695387606
"tessellated darter",4,5,0,1.56502056901332,-0.905837809222888,0,9,0.0732425288656031
"Thymallus thymallus",13,12,0,2.01773331686484,-1.72033907863329,0,25,0.0118957695292621
