source,STUDY_ID,newsite,REALM,TAXA,ORGANISMS,initR,nsp,nyr_used,startyr,endyr,nint,nind,npos,nL,nU,nneg,L,U,f_nind,f_nL,f_nU,f_nneg,cvsq_real,cvsq_indep,phi,phi_LdM,skw_real,skw_indep,phi_skw,iCV,iCValt,LONGITUDE,LATITUDE,t_med,t_skw,t_var,t_med_celcius,t_skw_celcius,t_var_celcius,t.lm.slope,t.lm.slope.sig,t.sens.slope,t.sens.slope.sig,t.lm.slope.celcius,t.lm.slope.sig.celcius,t.sens.slope.celcius,t.sens.slope.sig.celcius,GiniSimpson,Simpson,Shannon,Heip,McIntosh,SmithWilson,Pielou
BioTIME,57,57,Freshwater,fish,fish,76,34,32,1981,2012,561,503,35,24,11,23,3.026562645,-1.2517036,0.896613191,0.042780749,0.019607843,0.040998217,1.564516391,1.500137803,1.042915116,0.454249412,5.171699998,5.063954428,1.021276963,0.799484303,1.811512218,-89.4946,43.9928,2809.208333,0.470155803,0.004012103,7.770833333,0.470155803,0.145040214,0.341413123,1,0.333333333,0,0.034141312,1,0.033333333,0,0.816821658,0.141946953,0.669842414,0.29131145,0.657578814,0.415179674,0.189952902
BioTIME,229,STUDY_ID_229_LAT35.04016_LON-83.36127,Freshwater,fish,fish,24,14,23,1990,2013,91,59,29,21,8,3,2.557499134,-0.632908278,0.648351648,0.230769231,0.087912088,0.032967033,0.188506279,0.096335311,1.956772405,0.551542934,0.363279056,0.612438525,0.593168198,2.303228838,1.898148148,-83.36127,35.04016,2864.583333,0.131507342,0.002283636,13.30833333,0.131507342,0.049154665,0.257894331,0,0.333333333,0,0.025789433,0,0.033333333,0,0.569798039,0.151684636,0.511563162,0.219815172,0.428225109,0.349520717,0.193843141
BioTIME,229,STUDY_ID_229_LAT35.11187_LON-83.39091,Freshwater,fish,fish,30,11,20,1990,2013,55,35,20,13,7,0,1.045760751,-0.490333182,0.636363636,0.236363636,0.127272727,0,0.239131043,0.087942372,2.719178908,0.387718087,0.504649478,0.737131652,0.684612411,2.04494683,1.556012333,-83.39091,35.11187,2868.166667,0.171119683,0.002084665,13.66666667,0.171119683,0.04375,0.105908937,0,0.215277778,0,0.010590894,0,0.021527778,0,0.919942247,0.555377362,0.863435348,0.692821201,0.85243359,0.626932038,0.360080508
BioTIME,229,STUDY_ID_229_LAT35.14137_LON-83.29577,Freshwater,fish,fish,32,17,21,1991,2012,136,97,27,9,18,12,1.028425324,-2.546660398,0.713235294,0.066176471,0.132352941,0.088235294,0.110497717,0.047462701,2.328095845,0.442379127,2.410407309,0.84091223,2.866419612,3.008315266,3.695652174,-83.29577,35.14137,2863.833333,-0.030571615,0.002327882,13.23333333,-0.030571615,0.050377834,0.36504114,0,0.448317308,0,0.036504114,0,0.044831731,0,0.818648387,0.25630341,0.694855728,0.385073637,0.687729628,0.314588061,0.245253584
BioTIME,229,STUDY_ID_229_LAT35.15409_LON-83.48787,Freshwater,fish,fish,25,14,21,1990,2013,91,61,29,3,26,1,0.266745394,-2.937843577,0.67032967,0.032967033,0.285714286,0.010989011,0.158491789,0.109912624,1.441979845,0.542426541,-0.295718623,-0.877431959,0.337027412,2.511866863,2.153623188,-83.48787,35.15409,2863.5,0.038081694,0.002386357,13.2,0.038081694,0.051767677,0.199519498,0,0.319444444,0,0.01995195,0,0.031944444,0,0.521221263,0.138425096,0.470858811,0.189591601,0.38439683,0.324697114,0.178419319
BioTIME,229,STUDY_ID_229_LAT35.15755_LON-83.38673,Freshwater,fish,fish,37,16,23,1990,2013,120,91,27,14,13,2,1.137705051,-1.333840068,0.758333333,0.116666667,0.108333333,0.016666667,0.145926844,0.05889087,2.477919663,0.3367367,0.318398025,0.584493404,0.544741862,2.617775535,1.878651685,-83.38673,35.15755,2867.25,0.096273645,0.00233964,13.575,0.096273645,0.04941682,0.266733882,0,0.357843137,0,0.026673388,0,0.035784314,0,0.883792777,0.364549946,0.796106182,0.539394006,0.781255607,0.500767544,0.28713461
BioTIME,229,STUDY_ID_229_LAT35.2087_LON-83.3515,Freshwater,fish,fish,22,13,23,1990,2013,78,67,11,3,8,0,0.262407715,-1.118152894,0.858974359,0.038461538,0.102564103,0,0.130554991,0.055040516,2.371979788,0.278253236,-0.084874159,0.189549715,-0.447767272,2.767599606,2.277227723,-83.3515,35.2087,2867.5,0.109654745,0.002383028,13.6,0.109654745,0.050245098,0.269061922,0,0.37037037,0,0.026906192,0,0.037037037,0,0.923346282,0.520875487,0.84251691,0.63999398,0.852014206,0.478030653,0.328473117
BioTIME,238,STUDY_ID_238_LAT43.06337_LON-89.36086,Freshwater,freshwater invertebrates,zooplanton,30,11,20,1995,2014,55,46,7,3,4,2,0.310614974,-0.436769493,0.836363636,0.054545455,0.072727273,0.036363636,0.266571844,0.222498183,1.198085488,0.318607308,0.326815629,1.007017412,0.32453821,1.936836058,0.914021565,-89.36086,43.06337,2821.208333,0.114879431,0.004969797,8.970833333,0.114879431,0.156293544,0.022807018,0,-0.049189815,0,0.002280702,0,-0.004918981,0,0.802594998,0.336241823,0.647374231,0.372248719,0.68724179,0.102487515,0.269976024
BioTIME,238,STUDY_ID_238_LAT43.09885_LON-89.40545,Freshwater,freshwater invertebrates,zooplanton,26,14,20,1995,2014,91,60,26,15,11,5,1.507863823,-0.961973625,0.659340659,0.164835165,0.120879121,0.054945055,0.349408623,0.195315523,1.788944465,0.418256212,0.735467241,1.1003307,0.668405636,1.691738335,1.000637502,-89.40545,43.09885,2821.041667,0.114476744,0.005014401,8.954166667,0.114476744,0.157980456,0.025814536,0,-0.064393939,0,0.002581454,0,-0.006439394,0,0.810204231,0.288405106,0.650408786,0.351140614,0.685562161,0.152159316,0.246454967
BioTIME,247,STUDY_ID_247_LAT43.18083_LON-75.92639,Freshwater,freshwater invertebrates,zooplankton,31,10,28,1979,2006,45,36,7,7,0,2,0.613747521,0,0.8,0.155555556,0,0.044444444,0.091818467,0.083359109,1.1014809,0.149840023,0.28953151,0.429115938,0.674716283,3.30015989,2.335025776,-75.92639,43.18083,2820.166667,0.404916466,0.005008569,8.866666667,0.404916466,0.159304511,0.190926092,0,0.209935897,0,0.019092609,0,0.02099359,0,0.950818567,0.69317704,0.897792639,0.767001329,0.906997819,0.575299082,0.389906389
BioTIME,247,STUDY_ID_247_LAT43.18611_LON-75.77083,Freshwater,freshwater invertebrates,zooplankton,29,9,28,1979,2006,36,22,13,12,1,1,2.162149923,-0.000273823,0.611111111,0.333333333,0.027777778,0.027777778,0.228023821,0.127130769,1.793616316,0.280173436,-0.237692666,0.520787373,-0.456410194,2.094160147,1.319766793,-75.77083,43.18611,2819.125,0.409064558,0.00504737,8.7625,0.409064558,0.162387066,0.178934252,0,0.176785714,0,0.017893425,0,0.017678571,0,0.956505655,0.741864662,0.915480564,0.809330409,0.919492731,0.661822381,0.41665316
BioTIME,247,STUDY_ID_247_LAT43.19472_LON-75.85361,Freshwater,freshwater invertebrates,zooplankton,28,9,28,1979,2006,36,22,12,12,0,2,1.635740248,0,0.611111111,0.333333333,0,0.055555556,0.179605142,0.123403292,1.455432343,0.203096437,-0.223891723,0.398892388,-0.56128352,2.35961211,2.0576598,-75.85361,43.19472,2819.5,0.401997183,0.00503931,8.8,0.401997183,0.161458333,0.184753943,0,0.196153846,0,0.018475394,0,0.019615385,0,0.953051486,0.726961793,0.908396971,0.794900847,0.913572658,0.666829384,0.413429278
BioTIME,247,STUDY_ID_247_LAT43.21028_LON-75.92278,Freshwater,freshwater invertebrates,zooplankton,27,10,28,1979,2006,45,20,24,23,1,1,3.012898802,-0.043299575,0.444444444,0.511111111,0.022222222,0.022222222,0.252382116,0.119587996,2.110430183,0.289856827,0.037720043,0.762667085,0.049458071,1.990539095,1.436715832,-75.92278,43.21028,2819.5,0.413062827,0.004972808,8.8,0.413062827,0.159327652,0.189850061,0,0.196314103,0,0.018985006,0,0.01963141,0,0.962673919,0.748539565,0.92480615,0.823355181,0.927934127,0.704199597,0.401638208
BioTIME,247,STUDY_ID_247_LAT43.22111_LON-76.04444,Freshwater,freshwater invertebrates,zooplankton,28,11,28,1979,2006,55,42,8,4,4,5,0.557166597,-0.167370319,0.763636364,0.072727273,0.072727273,0.090909091,0.120881592,0.115011755,1.051036842,0.144975108,1.42625581,0.580626698,2.456407558,2.876205514,2.378535463,-76.04444,43.22111,2819.958333,0.410039596,0.005023715,8.845833333,0.410039596,0.16015073,0.196859813,0,0.217460317,0,0.019685981,0,0.021746032,0,0.932924807,0.598532901,0.856797273,0.680301449,0.873706049,0.407653144,0.357312216
BioTIME,253,STUDY_ID_253_LAT46.00275_LON-89.61223,Freshwater,freshwater invertebrates,zooplankton,81,24,29,1986,2014,276,202,46,28,18,28,3.266499208,-1.927157476,0.731884058,0.101449275,0.065217391,0.101449275,0.304300602,0.162535431,1.872210882,0.281448934,2.343434753,2.694826853,0.869604943,1.812794581,2.181721177,-89.61223,46.00275,2781,0.227613896,0.005064126,4.95,0.227613896,0.284511785,0.122208539,0,0.092361111,0,0.012220854,0,0.009236111,0,0.891719694,0.286496254,0.740255937,0.4135907,0.777307418,0.290120005,0.232927438
BioTIME,253,STUDY_ID_253_LAT46.00758_LON-89.60618,Freshwater,freshwater invertebrates,zooplankton,86,20,29,1986,2014,190,143,36,21,15,11,1.939088608,-1.351834446,0.752631579,0.110526316,0.078947368,0.057894737,0.173759153,0.097719937,1.778134111,0.176378606,0.493793266,0.564996423,0.873975917,2.398977387,2.021867729,-89.60618,46.00758,2781.25,0.236319198,0.004973783,4.975,0.236319198,0.278056951,0.125985222,0,0.083333333,0,0.012598522,0,0.008333333,0,0.909286531,0.367167055,0.797302877,0.520905313,0.812703204,0.289957908,0.266146239
BioTIME,253,STUDY_ID_253_LAT46.00773_LON-89.70118,Freshwater,freshwater invertebrates,zooplankton,82,26,29,1986,2014,325,254,61,25,36,10,1.865785593,-3.586419126,0.781538462,0.076923077,0.110769231,0.030769231,0.208319734,0.07016282,2.969090111,0.29021365,1.080743192,0.375945093,2.874736796,2.190961739,1.44375103,-89.70118,46.00773,2781.5,0.24613499,0.005033255,5,0.24613499,0.28,0.131157635,0,0.099305556,0,0.013115764,0,0.009930556,0,0.92363276,0.343739354,0.786159388,0.47814889,0.827853432,0.306353978,0.241294074
BioTIME,253,STUDY_ID_253_LAT46.02107_LON-89.61178,Freshwater,freshwater invertebrates,zooplankton,87,34,29,1986,2014,561,472,82,35,47,7,2.840295057,-5.406429522,0.841354724,0.062388592,0.083778966,0.012477718,0.134611374,0.043437871,3.098940421,0.24784388,0.94608603,0.572387288,1.652877432,2.725581182,1.903844371,-89.61178,46.02107,2781.25,0.229466186,0.004973783,4.975,0.229466186,0.278056951,0.126929392,0,0.090046296,0,0.012692939,0,0.00900463,0,0.928669956,0.29816111,0.764300804,0.418438875,0.827909014,0.286197237,0.216739269
BioTIME,253,STUDY_ID_253_LAT46.02927_LON-89.66502,Freshwater,freshwater invertebrates,zooplankton,87,38,29,1986,2014,703,528,152,69,83,23,5.16777116,-7.809979575,0.751066856,0.098150782,0.118065434,0.032716927,0.195725502,0.040512669,4.831217104,0.491267083,1.121610319,0.516426058,2.171870108,2.260353126,1.838308611,-89.66502,46.02927,2780.833333,0.242622313,0.005064429,4.933333333,0.242622313,0.285472973,0.124178982,0,0.092361111,0,0.012417898,0,0.009236111,0,0.898144891,0.209703439,0.71775887,0.340849405,0.770792704,0.285019616,0.197317352
BioTIME,253,STUDY_ID_253_LAT46.03832_LON-89.62062,Freshwater,freshwater invertebrates,zooplankton,88,33,29,1986,2014,528,454,54,27,27,20,2.53711699,-2.365642257,0.859848485,0.051136364,0.051136364,0.037878788,0.182309419,0.079680755,2.287998141,0.259069947,1.012247537,0.817380188,1.238404787,2.342046142,2.043687257,-89.62062,46.03832,2780.916667,0.242269247,0.005004345,4.941666667,0.242269247,0.281618887,0.128571429,0,0.094444444,0,0.012857143,0,0.009444444,0,0.922330712,0.286909698,0.746471733,0.393739063,0.817279847,0.281200086,0.213490667
BioTIME,253,STUDY_ID_253_LAT46.04125_LON-89.68628,Freshwater,freshwater invertebrates,zooplankton,67,8,29,1986,2014,28,20,5,3,2,3,0.491087782,-0.163963208,0.714285714,0.107142857,0.071428571,0.107142857,1.504645814,1.435614334,1.048084975,0.524341502,3.839326294,4.091750982,0.938308883,0.81523508,0.77269099,-89.68628,46.04125,2780.75,0.229211959,0.005004645,4.925,0.229211959,0.282571912,0.124712644,0,0.072222222,0,0.012471264,0,0.007222222,0,0.693144045,0.317662846,0.610375564,0.365449775,0.576544202,0.31059992,0.2935286
BioTIME,430,STUDY_ID_430_basin_80355,Freshwater,fish,fish,26,3,28,1986,2015,3,2,0,0,0,1,0,0,0.666666667,0,0,0.333333333,0.635325011,0.786551341,0.807734953,0.330103174,1.669538219,2.147773748,0.777334307,1.254590584,1.788721805,175.1292,-37.61422,2875.875,-0.106508649,0.00227467,14.4375,-0.106508649,0.045310245,0.117311873,0,0.135016026,0,0.011731187,0,0.013501603,0,0.959821948,0.925620725,0.964881394,0.943229594,0.946176139,0.953924605,0.878272894
